Date,Price
2023-01-01,85.5
2023-01-02,86.3
2023-01-03,87.1
2023-01-04,85.9
2023-01-05,86.7
2023-01-06,87.3
2023-01-07,88.0
2023-01-08,87.8
2023-01-09,88.2
2023-01-10,88.5
2023-01-11,88.9
2023-01-12,89.1
2023-01-13,89.4
2023-01-14,89.2
2023-01-15,89.0
2023-01-16,88.7
2023-01-17,88.4
2023-01-18,88.1
2023-01-19,87.9
2023-01-20,87.5
2023-01-21,87.2
2023-01-22,86.8
2023-01-23,86.5
2023-01-24,86.2
2023-01-25,85.9
2023-01-26,85.6
2023-01-27,85.3
2023-01-28,85.0
2023-01-29,84.8
2023-01-30,84.5
